4
2000
95	5	96	4	99	1	86	14
48	52	15	85	24	76	12	88
84	16	54	46	72	28	62	38
99	1	86	14	95	5	100	0
78	22	94	6	95	5	91	9
95	5	81	19	90	10	96	4
47	53	28	72	40	60	26	74
79	21	48	52	67	33	75	25
60	40	50	50	40	60	41	59
73	27	83	17	90	10	54	46
45	55	67	33	59	41	50	50
57	43	65	35	66	34	74	26
71	29	79	21	77	23	78	22
77	23	82	18	63	37	88	12
82	18	59	41	81	19	63	37
96	4	85	15	79	21	90	10
100	0	80	20	100	0	100	0
89	11	89	11	82	18	91	9
98	2	85	15	97	3	100	0
99	1	98	2	89	11	94	6
77	23	78	22	91	9	91	9
22	78	84	16	87	13	66	34
57	43	47	53	66	34	73	27
39	61	38	62	28	72	29	71
7	93	32	68	45	55	41	59
89	11	94	6	88	12	94	6
68	32	78	22	82	18	70	30
60	40	81	19	94	6	57	43
27	73	26	74	39	61	19	81
75	25	78	22	78	22	81	19
98	2	90	10	83	17	92	8
57	43	54	46	61	39	64	36
85	15	89	11	97	3	96	4
48	52	55	45	45	55	40	60
40	60	79	21	55	45	59	41
57	43	56	44	42	58	46	54
92	8	74	26	93	7	83	17
67	33	56	44	44	56	31	69
91	9	93	7	90	10	66	34
62	38	91	9	94	6	78	22
49	51	53	47	72	28	67	33
42	58	37	63	42	58	55	45
40	60	86	14	30	70	60	40
100	0	100	0	95	5	85	15
71	29	90	10	85	15	82	18
79	21	97	3	80	20	87	13
76	24	32	68	46	54	69	31
44	56	25	75	48	52	74	26
32	68	51	49	31	69	69	31
55	45	69	31	81	19	88	12
76	24	92	8	93	7	90	10
64	36	77	23	55	45	57	43
61	39	54	46	86	14	66	34
25	75	12	88	42	58	15	85
77	23	25	75	79	21	64	36
44	56	58	42	49	51	34	66
75	25	80	20	75	25	78	22
100	0	85	15	98	2	94	6
54	46	49	51	77	23	56	44
47	53	52	48	35	65	53	47
76	24	76	24	89	11	88	12
93	7	69	31	83	17	68	32
78	22	51	49	46	54	31	69
72	28	58	42	56	44	41	59
64	36	40	60	54	46	51	49
99	1	86	14	82	18	82	18
99	1	74	26	94	6	86	14
69	31	86	14	68	32	80	20
82	18	73	27	80	20	88	12
93	7	84	16	81	19	73	27
75	25	64	36	54	46	68	32
53	47	52	48	44	56	73	27
97	3	85	15	67	33	74	26
96	4	92	8	98	2	94	6
96	4	94	6	96	4	85	15
100	0	98	2	88	12	94	6
21	79	30	70	36	64	40	60
22	78	61	39	46	54	42	58
48	52	78	22	74	26	90	10
53	47	64	36	61	39	57	43
93	7	78	22	60	40	92	8
69	31	49	51	82	18	77	23
60	40	71	29	74	26	78	22
99	1	90	10	98	2	91	9
67	33	69	31	64	36	70	30
100	0	100	0	86	14	94	6
83	17	99	1	100	0	98	2
99	1	54	46	73	27	80	20
84	16	78	22	82	18	95	5
24	76	61	39	40	60	28	72
100	0	87	13	88	12	97	3
45	55	56	44	57	43	60	40
68	32	35	65	56	44	57	43
85	15	81	19	80	20	70	30
22	78	13	87	27	73	26	74
81	19	99	1	95	5	93	7
57	43	87	13	65	35	80	20
75	25	80	20	64	36	78	22
8	92	26	74	37	63	36	64
71	29	81	19	73	27	55	45
60	40	31	69	39	61	25	75
81	19	55	45	70	30	73	27
63	37	46	54	47	53	38	62
68	32	56	44	74	26	60	40
79	21	84	16	80	20	52	48
77	23	39	61	59	41	55	45
96	4	91	9	99	1	84	16
97	3	89	11	79	21	75	25
67	33	86	14	49	51	79	21
91	9	70	30	74	26	67	33
15	85	18	82	52	48	45	55
97	3	77	23	73	27	74	26
92	8	91	9	97	3	97	3
93	7	91	9	99	1	97	3
58	42	67	33	67	33	77	23
49	51	48	52	55	45	70	30
20	80	43	57	56	44	14	86
62	38	39	61	68	32	55	45
53	47	65	35	46	54	63	37
48	52	52	48	71	29	44	56
39	61	14	86	20	80	15	85
82	18	82	18	73	27	81	19
72	28	79	21	99	1	92	8
74	26	88	12	69	31	87	13
53	47	52	48	64	36	51	49
63	37	71	29	69	31	70	30
50	50	37	63	32	68	50	50
100	0	80	20	100	0	100	0
66	34	81	19	67	33	56	44
86	14	85	15	59	41	97	3
61	39	88	12	76	24	88	12
79	21	99	1	95	5	82	18
80	20	98	2	77	23	91	9
72	28	83	17	49	51	82	18
44	56	59	41	53	47	63	37
91	9	93	7	98	2	98	2
40	60	82	18	75	25	67	33
79	21	86	14	90	10	87	13
77	23	80	20	95	5	93	7
90	10	80	20	53	47	68	32
69	31	82	18	71	29	68	32
81	19	99	1	99	1	82	18
57	43	55	45	71	29	49	51
43	57	30	70	31	69	41	59
100	0	71	29	96	4	94	6
41	59	65	35	43	57	74	26
81	19	72	28	90	10	99	1
77	23	81	19	76	24	62	38
62	38	74	26	60	40	67	33
67	33	87	13	56	44	84	16
92	8	84	16	79	21	59	41
90	10	85	15	85	15	82	18
88	12	90	10	94	6	81	19
84	16	92	8	94	6	79	21
59	41	69	31	81	19	80	20
44	56	45	55	63	37	51	49
67	33	72	28	64	36	81	19
75	25	94	6	78	22	81	19
52	48	58	42	47	53	49	51
3	97	36	64	27	73	19	81
56	44	49	51	35	65	54	46
87	13	78	22	67	33	92	8
60	40	71	29	77	23	72	28
25	75	28	72	33	67	15	85
44	56	77	23	67	33	58	42
42	58	43	57	66	34	67	33
59	41	49	51	36	64	51	49
97	3	100	0	88	12	89	11
60	40	83	17	77	23	78	22
81	19	99	1	100	0	100	0
24	76	12	88	81	19	61	39
44	56	71	29	77	23	70	30
34	66	40	60	52	48	26	74
96	4	95	5	98	2	91	9
24	76	88	12	62	38	69	31
84	16	82	18	91	9	74	26
79	21	69	31	83	17	74	26
67	33	65	35	54	46	32	68
23	77	18	82	22	78	31	69
65	35	72	28	55	45	78	22
50	50	85	15	75	25	93	7
24	76	49	51	20	80	62	38
89	11	94	6	99	1	90	10
63	37	67	33	49	51	57	43
49	51	83	17	84	16	53	47
90	10	74	26	98	2	91	9
67	33	42	58	24	76	37	63
68	32	75	25	63	37	67	33
74	26	92	8	77	23	55	45
91	9	83	17	80	20	86	14
99	1	89	11	100	0	92	8
74	26	90	10	73	27	73	27
29	71	30	70	36	64	38	62
92	8	98	2	93	7	77	23
85	15	94	6	88	12	83	17
37	63	73	27	57	43	67	33
100	0	100	0	80	20	100	0
64	36	98	2	70	30	87	13
73	27	85	15	78	22	67	33
89	11	77	23	80	20	74	26
94	6	86	14	95	5	89	11
38	62	45	55	47	53	30	70
90	10	66	34	55	45	68	32
50	50	61	39	58	42	35	65
33	67	39	61	29	71	49	51
47	53	45	55	53	47	54	46
6	94	23	77	50	50	21	79
54	46	58	42	41	59	69	31
77	23	46	54	40	60	38	62
98	2	93	7	97	3	92	8
68	32	66	34	46	54	68	32
93	7	94	6	96	4	94	6
91	9	70	30	97	3	93	7
79	21	81	19	70	30	56	44
100	0	78	22	98	2	100	0
100	0	100	0	100	0	80	20
55	45	36	64	57	43	25	75
38	62	44	56	51	49	42	58
66	34	62	38	85	15	93	7
9	91	27	73	16	84	24	76
1	99	7	93	9	91	13	87
86	14	95	5	88	12	99	1
95	5	44	56	72	28	67	33
98	2	85	15	88	12	83	17
69	31	59	41	65	35	81	19
44	56	57	43	28	72	42	58
42	58	63	37	50	50	20	80
41	59	48	52	37	63	34	66
